   6.3036 6.7231e+06 4.6002e+06 1.0352e+07 4.8295e+06 1.0142e+07 5.9016e+06 7.8314e+06 6.2270e+06 7.2192e+06
   6.5561 5.7279e+06 3.9518e+06 8.7284e+06 4.1408e+06 8.5552e+06 5.0502e+06 6.6406e+06 5.3078e+06 6.1480e+06
   6.8087 4.8980e+06 3.4055e+06 7.3914e+06 3.5622e+06 7.2472e+06 4.3364e+06 5.6533e+06 4.5406e+06 5.2555e+06
   7.0612 4.2046e+06 2.9452e+06 6.2859e+06 3.0756e+06 6.1653e+06 3.7374e+06 4.8322e+06 3.8990e+06 4.5101e+06
   7.3138 3.6224e+06 2.5555e+06 5.3674e+06 2.6646e+06 5.2661e+06 3.2324e+06 4.1462e+06 3.3600e+06 3.8848e+06
   7.5663 3.1315e+06 2.2241e+06 4.6007e+06 2.3158e+06 4.5152e+06 2.8046e+06 3.5705e+06 2.9053e+06 3.3577e+06
   7.8189 2.7158e+06 1.9411e+06 3.9579e+06 2.0185e+06 3.8854e+06 2.4407e+06 3.0853e+06 2.5200e+06 2.9116e+06
   8.0714 2.3623e+06 1.6985e+06 3.4167e+06 1.7642e+06 3.3549e+06 2.1300e+06 2.6746e+06 2.1922e+06 2.5324e+06
   8.3240 2.0612e+06 1.4904e+06 2.9596e+06 1.5464e+06 2.9067e+06 1.8642e+06 2.3262e+06 1.9129e+06 2.2094e+06
   8.5765 1.8037e+06 1.3113e+06 2.5721e+06 1.3592e+06 2.5266e+06 1.6362e+06 2.0294e+06 1.6740e+06 1.9334e+06
   8.8291 1.5829e+06 1.1568e+06 2.2422e+06 1.1980e+06 2.2030e+06 1.4400e+06 1.7758e+06 1.4691e+06 1.6968e+06
   9.0816 1.3929e+06 1.0229e+06 1.9605e+06 1.0584e+06 1.9266e+06 1.2705e+06 1.5582e+06 1.2927e+06 1.4931e+06
   9.3342 1.2288e+06 9.0671e+05 1.7190e+06 9.3745e+05 1.6895e+06 1.1237e+06 1.3710e+06 1.1404e+06 1.3172e+06
   9.5867 1.0867e+06 8.0546e+05 1.5114e+06 8.3217e+05 1.4857e+06 9.9622e+05 1.2094e+06 1.0085e+06 1.1650e+06
   9.8393 9.6330e+05 7.1703e+05 1.3323e+06 7.4032e+05 1.3098e+06 8.8512e+05 1.0696e+06 8.9388e+05 1.0327e+06
  10.0918 8.5590e+05 6.3967e+05 1.1775e+06 6.6006e+05 1.1577e+06 7.8816e+05 9.4818e+05 7.9415e+05 9.1764e+05
  10.3444 7.6218e+05 5.7185e+05 1.0432e+06 5.8974e+05 1.0258e+06 7.0333e+05 8.4255e+05 7.0713e+05 8.1722e+05
  10.5969 6.8019e+05 5.1223e+05 9.2647e+05 5.2800e+05 9.1108e+05 6.2893e+05 7.5037e+05 6.3100e+05 7.2936e+05
  10.8495 6.0827e+05 4.5972e+05 8.2463e+05 4.7364e+05 8.1099e+05 5.6351e+05 6.6972e+05 5.6424e+05 6.5230e+05
  11.1020 5.4504e+05 4.1335e+05 7.3558e+05 4.2568e+05 7.2346e+05 5.0586e+05 5.9899e+05 5.0553e+05 5.8455e+05
  11.3546 4.8932e+05 3.7232e+05 6.5751e+05 3.8328e+05 6.4671e+05 4.5494e+05 5.3680e+05 4.5380e+05 5.2484e+05
  11.6071 4.4011e+05 3.3594e+05 5.8891e+05 3.4570e+05 5.7926e+05 4.0987e+05 4.8200e+05 4.0812e+05 4.7210e+05
  11.8597 3.9656e+05 3.0361e+05 5.2848e+05 3.1233e+05 5.1984e+05 3.6989e+05 4.3360e+05 3.6770e+05 4.2542e+05
  12.1122 3.5794e+05 2.7484e+05 4.7517e+05 2.8265e+05 4.6741e+05 3.3438e+05 3.9078e+05 3.3186e+05 3.8403e+05
  12.3648 3.2364e+05 2.4920e+05 4.2803e+05 2.5620e+05 4.2105e+05 3.0277e+05 3.5282e+05 3.0002e+05 3.4726e+05
  12.6173 2.9310e+05 2.2629e+05 3.8626e+05 2.3259e+05 3.7996e+05 2.7458e+05 3.1909e+05 2.7168e+05 3.1452e+05
  12.8699 2.6587e+05 2.0580e+05 3.4917e+05 2.1147e+05 3.4348e+05 2.4939e+05 2.8905e+05 2.4641e+05 2.8532e+05
  13.1224 2.4153e+05 1.8743e+05 3.1616e+05 1.9255e+05 3.1100e+05 2.2685e+05 2.6226e+05 2.2384e+05 2.5922e+05
  13.3750 2.1974e+05 1.7093e+05 2.8673e+05 1.7557e+05 2.8205e+05 2.0664e+05 2.3832e+05 2.0363e+05 2.3586e+05
  13.6276 2.0021e+05 1.5610e+05 2.6043e+05 1.6031e+05 2.5618e+05 1.8849e+05 2.1688e+05 1.8551e+05 2.1491e+05
  13.8801 1.8266e+05 1.4274e+05 2.3689e+05 1.4656e+05 2.3302e+05 1.7216e+05 1.9766e+05 1.6924e+05 1.9609e+05
  14.1327 1.6688e+05 1.3069e+05 2.1579e+05 1.3417e+05 2.1226e+05 1.5746e+05 1.8039e+05 1.5460e+05 1.7916e+05
  14.3852 1.5266e+05 1.1981e+05 1.9683e+05 1.2298e+05 1.9360e+05 1.4419e+05 1.6485e+05 1.4142e+05 1.6390e+05
  14.6378 1.3983e+05 1.0996e+05 1.7979e+05 1.1286e+05 1.7683e+05 1.3220e+05 1.5084e+05 1.2952e+05 1.5014e+05
  14.8903 1.2824e+05 1.0105e+05 1.6444e+05 1.0370e+05 1.6173e+05 1.2136e+05 1.3821e+05 1.1878e+05 1.3770e+05
  15.1429 1.1776e+05 9.2964e+04 1.5061e+05 9.5388e+04 1.4812e+05 1.1154e+05 1.2680e+05 1.0906e+05 1.2645e+05
  15.3954 1.0826e+05 8.5622e+04 1.3811e+05 8.7844e+04 1.3582e+05 1.0263e+05 1.1647e+05 1.0026e+05 1.1626e+05
  15.6480 9.9639e+04 7.8945e+04 1.2681e+05 8.0985e+04 1.2470e+05 9.4538e+04 1.0711e+05 9.2271e+04 1.0700e+05
  15.9005 9.1807e+04 7.2865e+04 1.1657e+05 7.4741e+04 1.1463e+05 8.7177e+04 9.8613e+04 8.5015e+04 9.8598e+04
  16.1531 8.4682e+04 6.7322e+04 1.0728e+05 6.9050e+04 1.0549e+05 8.0473e+04 9.0890e+04 7.8414e+04 9.0949e+04
